ID,Start Time,End Time,Hours,Minutes,Seconds,Work Done,Hourly Amount
c6448c18-f767-4e30-b4f9-fcb239fba6b8,1/10/2024 10:06:52 PM,Not yet done,1,18,55,Changing the aspect ratios. fixing and uploading final. ,250
17258f2d-bbad-43f4-ab3e-583320fa90e8,1/10/2024 12:00:20 AM,1/10/2024 10:06:52 PM,1,1,6,making things modular; adding stuff that wasnt modular before. changing aspect ratios. ,250
66b1a23c-3315-4492-9eec-72edeb26a2c2,1/8/2024 9:04:07 PM,1/10/2024 12:00:20 AM,2,20,2,Fixing aspect ratio and adding images and text as modular. Static stuff now works. Aspect ratios are better. Making chnages according to list. p.txt.,250
91d8f97c-f470-44ae-bc0c-f91ea4ba1766,1/7/2024 8:31:45 PM,1/8/2024 9:04:07 PM,0,36,35,Working on fixing sub category bug. Added modal. ,250
c577b2fa-0e76-468c-81df-85c6eefa749b,1/7/2024 2:44:33 PM,1/7/2024 8:31:45 PM,1,43,24,More cosmetic changes. Deployment done. Testing. ,250
ee27f2e9-93ad-42a0-8590-b087843f6059,1/7/2024 1:40:38 PM,1/7/2024 2:44:33 PM,1,3,54,working on cosmetic changes,250
ea7dda18-830b-43bf-87ad-adf7c52e199c,1/6/2024 10:02:27 PM,1/7/2024 1:40:38 PM,1,12,38,reformated and added all policies. Added modal for i agree button. ,250
1e55988f-47d8-4524-93c4-d05593f2ec51,1/6/2024 8:41:32 PM,1/6/2024 10:02:27 PM,1,20,54,Fixing bugs and issues; testing. deleting previous orders. Testing new orders. Deploying.,250
48261fdd-edfb-4cf1-a2af-0cb98fe6f900,1/6/2024 7:06:29 PM,1/6/2024 8:41:32 PM,1,34,57,Working on refining cart page. Bug fixes. ,250
4582011b-4948-4b78-a1f2-6a19e681e046,1/6/2024 6:32:28 PM,1/6/2024 7:06:29 PM,0,34,0,working on points system in checkout,250
4831d6a5-e259-4e84-ba78-2b8c0b9d17ba,1/6/2024 5:00:24 PM,1/6/2024 6:32:28 PM,1,25,43,working on checkout page cost. ,250
7bc0649c-bd8d-4e3f-9c62-76b0ffa74147,1/6/2024 3:44:15 PM,1/6/2024 5:00:24 PM,1,0,0,working on fixing side cart,250
d9e89f36-fd1b-40ec-a12c-a61c75aba7f2,1/5/2024 10:55:50 PM,1/6/2024 3:44:15 PM,0,32,3,Continuing work on checkout and cart page. ,250
6bd35cfc-c067-43f2-a872-55506a39c95c,1/5/2024 9:09:59 PM,1/5/2024 10:55:50 PM,1,17,22,Fixing Cosmetics of Checkout page and Cart. discord discussions and explanation of admin page. ,250
9fcc5f33-17c7-4e5e-ba46-8eb47b51d7c1,1/5/2024 8:13:33 PM,1/5/2024 9:09:59 PM,0,53,44,Fixing Cosmetics of Review page. ,250
dda29a19-3900-45c2-888d-022e5bcb8bd6,1/5/2024 4:38:57 PM,1/5/2024 8:13:33 PM,0,58,41,done with home page and navbar; and footer. ,250
4b5c2a30-5b92-46f3-a0f9-9dc1c5875e66,1/5/2024 2:54:01 PM,1/5/2024 4:38:57 PM,1,23,28,Changed footer; website background,250
79b7d2f8-2ea3-4d9f-863b-0d3291043ef5,1/5/2024 2:00:02 PM,1/5/2024 2:54:01 PM,0,44,13,Making faq; and policy pages. ,250
a61e72aa-8ec0-4ba6-94d3-a6b6787ffeb2,1/5/2024 4:11:32 AM,1/5/2024 2:00:02 PM,1,15,43,Fixing products not being added to side cart. ,250
d2f6b69f-a556-4281-9a3e-7ccba8fca7cd,1/5/2024 3:17:37 AM,1/5/2024 4:11:32 AM,0,53,54,All features now work. only cosmetics remain. Minor bugs and fixes pending along those cosmetics. Adding tc page; faq also remains. categories now link to subcategories. ,250
2cfc8e38-7386-4cee-85a5-871770118966,1/5/2024 2:37:46 AM,1/5/2024 3:17:37 AM,0,39,51,working on creating subcategories in the main website,250
5f062ddf-ad8c-4d4e-9119-3efacc3220a3,1/4/2024 11:36:40 PM,1/5/2024 2:37:46 AM,1,28,8,Fixing bugs in subcategories and categories addition. ,250
e1fe357c-c169-4725-9389-36a026bdab25,1/4/2024 3:56:44 PM,1/4/2024 11:36:40 PM,1,11,57,fixed duplicate products bug. ,250
386190e5-7889-4800-9149-d9e4e4832fe7,1/4/2024 2:17:52 PM,1/4/2024 3:56:44 PM,0,48,38,making cart page. Added customer email subscription feature. ,250
737bc039-ed63-4723-860b-b493e13b390e,1/4/2024 1:24:53 PM,1/4/2024 2:17:52 PM,0,52,58,making cart page. ,250
5aff76cd-cb29-4699-8060-f2d7f418566d,1/3/2024 9:44:59 PM,1/4/2024 1:24:53 PM,1,6,45,Discussions for cart page and samples. Experimenting how to put right side toggling page. ,250
e45034e9-f7fe-44f7-808b-8855ed2f96f7,1/3/2024 4:34:26 PM,1/3/2024 9:44:59 PM,0,52,41,Reviews are now working. Product page review designing left. Feature wise only points implementation is remaining. Fixed bugs. Research on how to implement cart page. ,250
d6c22d19-ca5f-4075-a1ee-c3a1015bfd41,1/3/2024 3:22:01 PM,1/3/2024 4:34:26 PM,1,7,14,Making Product Page. Working on description; images and reviews. Finished Product page with some bugs remaining. Added Reviews,250
2d8e15e6-d533-4898-a06f-766f05732c8e,1/3/2024 2:12:04 PM,1/3/2024 3:22:01 PM,0,55,24,Making Product Page. Done with main layout. Remaining with description and carousal and images. ,250
2a5d27ad-bb06-49f0-b3ba-c1fb229020a0,1/3/2024 1:13:34 PM,1/3/2024 2:12:04 PM,0,55,50,Making Product Page. Done with layout and architecture; props and states. ,250
688cb872-e009-483c-bf6e-a0ba14da88ac,1/3/2024 12:26:36 PM,1/3/2024 1:13:34 PM,0,46,57,Making product page for frontend. Added ingredients to products in admin page. ,250
dc5940d3-bc90-44c2-8886-87723fa60781,1/3/2024 10:29:08 AM,1/3/2024 12:26:36 PM,1,14,0,Fixed addition of products; simplified addition. Fixed bug in downloading categories and faq on startup. Updating products now works. Added category checkboxes to product modification page. ,250
1ba92029-bd45-482b-b07e-12650902c2ea,1/2/2024 10:56:17 PM,1/3/2024 10:29:08 AM,1,7,36,Made and Fixed Category page. Updating Product details working. Have to fix products. ,250
0714361c-2305-43c9-a868-4bec6675f07a,1/2/2024 8:59:48 PM,1/2/2024 10:56:17 PM,0,58,51,FAQ Page CRUD Operations now working. Making Category page. Making list again. ,250
3c8e8908-9927-4fdd-b9b6-a8c42472a91c,1/2/2024 3:49:50 PM,1/2/2024 8:59:48 PM,0,52,30,working on the product page. Done with a separate product page for each product. Created FAQ Page and Added FAQs over there. ,250
60efb7f4-ef4a-4d2d-b9f4-6b83459f8277,1/2/2024 2:32:19 PM,1/2/2024 3:49:50 PM,0,52,57,Made a new product page. ,250
ea8ec542-7163-4eed-9d6f-6526a187fbc7,1/2/2024 1:00:11 PM,1/2/2024 2:32:19 PM,1,15,3,added backend routes for categories. created new cluster in mongodb for categories. Testing GIFS. Making admin page for products separate due to lengthy products. ,250
e095b4b6-30ec-45a4-b729-a62fd6f5e2c4,1/1/2024 11:26:11 PM,1/2/2024 1:00:11 PM,0,55,59,Redesign of the main site. Thinking of another architecture for frontend for this page. Research regarding deploying images or gradients for the main page. Starting to work on the faqs becoming modular. ,250
1b3077b9-f337-4865-9941-eacba0f52bf5,1/1/2024 10:26:53 PM,1/1/2024 11:26:11 PM,0,59,18,Adding volumes to admin page and adding products. Adding products has some bugs. ,250
c312b266-5ff9-47ba-8ba4-4e82c2f9ae91,1/1/2024 4:51:02 PM,1/1/2024 10:26:53 PM,0,46,44,Adding shades to admin page. ,250
3721a393-aa02-4f17-b03e-2f45a449965e,1/1/2024 3:31:57 PM,1/1/2024 4:51:02 PM,1,17,52,discussions and clarifications of work to do and done. ,250
2183c297-b963-456e-b465-82e05a74bbeb,1/1/2024 2:04:21 PM,1/1/2024 3:31:57 PM,1,0,49,Working on grid layout for category page. Changed minor things in display carousal again. Edited navbar buttons. Changed cart button colors. ,250
4a9be428-a056-4b55-9ae8-4222942c4aa7,1/1/2024 1:03:46 PM,1/1/2024 2:04:21 PM,1,0,35,Category page rudimentarily complete. Added cards. Searching for patterns to use for background. Checking compatibility. Fixed bug for not receiving categories in category page. ,250
f713345f-6c11-4ac0-9d2c-bd00f0e222d9,12/31/2023 9:15:09 PM,1/1/2024 1:03:46 PM,0,54,48,created catalogue page. added catalogues. Started working on category page. ,250
e8386d01-ab90-4b85-a4d7-33cde1e6159a,12/31/2023 4:51:24 PM,12/31/2023 9:15:09 PM,1,3,42,working on editing the display carousal for home page. ,250
6433d4f0-b3ed-4815-9081-5b62a6c87a3c,12/31/2023 3:04:29 PM,12/31/2023 4:51:24 PM,1,1,39,working on editing the display carousal for home page. ,250
4c57db7a-dcb6-4b1f-952b-40cc692218a0,12/31/2023 2:09:42 PM,12/31/2023 3:04:29 PM,0,54,42,Wrote product carousal for Essential featured and holiday products on the home page. ,250
3ba9df04-112f-47cf-913a-a18d238c8794,12/31/2023 3:08:35 AM,12/31/2023 2:09:42 PM,1,6,2,Made separate pages for products and their categories. Routing now works for each product page. We are able to get products from server.  Working on making product display carousal on home page. ,250
3c6064ab-6c8a-4d10-beaa-80ebb1e8f6d8,12/31/2023 2:07:43 AM,12/31/2023 3:08:35 AM,1,0,51,Made a catalogue page. Separating Product Categories and fixing bugs in admin page while segregating product categories. ,250
d417a2ac-778a-48b5-9a1f-bba022df88cb,12/30/2023 9:38:37 PM,12/31/2023 2:07:43 AM,0,58,32,Fixed bugs in admin page regarding comma separation of image links. slideshow image links now working. Products page and other pages now work with imgur images on the main site. Data is retrieved from mongodb and backend.  Fixed bugs for loading images from links. Changed colors of buttons to beige. ,250
e91248bc-bb9e-4038-841e-6b8c988ccc40,12/30/2023 2:44:52 PM,12/30/2023 9:38:37 PM,0,55,0,Making Folders and sorting images. Uploading on imgur. Changed website code to take images from links instead of hard coded. ,250
3594c4c7-ecde-4386-8bb8-554bba3842c4,12/30/2023 12:51:01 PM,12/30/2023 2:44:52 PM,0,55,40,Working on Points refund logic. Added points to customers; orders; and wrote routes for deleting customers. Deleting customers works. ideally backend and admin page work is complete. All features implemented. testing remains. Minor changes remain; to be done in accordance with frontend. Documenting Changes. ,250
0edf67df-2b2e-470f-b65a-e2b29531c52e,12/30/2023 11:43:31 AM,12/30/2023 12:51:01 PM,1,0,10,Changing Theme of Admin page to match LL. admin page; and backend are now done except for point logic. Working on point logic. Added routes for deleting order in backend. Modified Frontend for Deleting Order. Testing Deleting Orders; Deleting orders works.,250
e90d4370-094c-4470-968b-1601dc43850c,12/29/2023 11:46:20 PM,12/30/2023 11:43:31 AM,1,0,15,Testing Add Products. Adding Products works. Added confirmation dialog box for deletion. Deletion now works. Adding real results; how to use etc in mongodb and frontend. Updating Request call such that it only executes upon recent changes to avoid excess api calls. ,250
238cdc34-78e0-4691-a5db-fea2d1f65782,12/29/2023 10:44:03 PM,12/29/2023 11:46:20 PM,1,2,14,Working on Updating Multiple Products. Made Frontend for Deleting a product. Made Add product form. Added provision for adding description and images in frontend for real results and how to use.,250
0ce3c448-b7b6-416b-8e7d-ffff71063353,12/29/2023 9:10:46 PM,12/29/2023 10:44:03 PM,1,5,20,Working on updating multiple products by editing products page.,250
71048acc-1c1c-4461-bab1-d95a3f03e016,12/29/2023 3:47:28 PM,12/29/2023 9:10:46 PM,1,1,2,Making routes for adding; deleting and updating products from the admin page.  Updated all products in Mongodb; and now displaying their properties in frontend. Updated routes. Working on updating products table in admin page. ,250
408fd1e5-8a80-43b3-816b-5245ec00fb10,12/29/2023 1:50:44 PM,12/29/2023 3:47:28 PM,1,0,5,Testing invoice making options. Testing subscription emails to everyone. Testing images being sent from those emails. Testing payment emails from mailjet. Fixed bug that mongo would change status irrespective of mail sent. Mail sent or not now sends accurate toasts. All mails now work as expected. ,250
354abff2-2e1f-4b55-8f14-68b2608f7cf5,12/29/2023 3:01:16 AM,12/29/2023 1:50:44 PM,1,1,0,checking if mailing client works. Testing subscription mails working for variaous accounts. converting from elastic to mailjet code. Subscription and transaction mails work on localhost at this point. ,250
14b8baf6-a55c-4320-90b7-f5d78b772a22,12/28/2023 9:47:43 PM,12/29/2023 3:01:16 AM,1,1,28,changed to local server instead of cyclic for testing. created mailjet account. added code for sending subscription emails; testing remaining; also modified code from elastic mail to mailjet mail. ,250
9ee3bad0-5292-43ce-b939-4f4a995c0a51,12/28/2023 8:43:24 PM,12/28/2023 9:47:43 PM,0,59,59,made emails section in the admin page; divided customers into batches. Made frontend for emails in admin page; added toasts; tried out different toast libraries. ,250
20fa8462-8575-4901-8048-0912a2a8ae2b,12/27/2023 9:53:05 PM,12/27/2023 10:51:30 PM,0,59,25,Researching image hosting options; trying out different links and approaches; testing website loading speed with them. Creating and testing accounts and validity. Logging in with LL credentials; making api calls from website to get products. ,250
d0156efe-1499-4fb8-af9d-e6b9d91dd63e,12/27/2023 8:51:53 PM,12/27/2023 9:53:05 PM,1,0,59,designing pages; outlines and skeletons; making the list of things to do. reorienting approaches. Rethinking backend; writing todo lists for updating routes and database. ,250
4acf571d-3011-439f-9f23-d5a50b1fbee4,12/27/2023 7:57:26 PM,12/27/2023 8:51:53 PM,0,59,0,working on faqs; added images in carousal; added new about section; finished faqs; added product varieties in the navbar.,250
b25d02d8-bda6-4bd6-886c-385e56edb678,12/27/2023 6:51:32 PM,12/27/2023 7:57:26 PM,0,59,56,changed fonts; edited navbar for pc; changed footer acc to design; downloaded fonts; fixed error with bun; started working on FAQs. ,250
